N81055	news	newsbusiness	Trump's Trustbusters Bring Microsoft Lessons to Big Tech Fight	DOJ's Makan Delrahim and the FTC's Joe Simons have agreed to divide Google, Facebook, Amazon, and Apple between them.	https://assets.msn.com/labs/mind/AACI1SK.html	[{"Label": "Big Four tech companies", "Type": "U", "WikidataId": "Q3122864", "Confidence": 0.988, "OccurrenceOffsets": [48], "SurfaceForms": ["Big Tech"]}, {"Label": "Donald Trump", "Type": "P", "WikidataId": "Q22686", "Confidence": 0.978, "OccurrenceOffsets": [0], "SurfaceForms": ["Trump"]}]	[{"Label": "Makan Delrahim", "Type": "P", "WikidataId": "Q29474280", "Confidence": 1.0, "OccurrenceOffsets": [6], "SurfaceForms": ["Makan Delrahim"]}, {"Label": "Joseph Simons", "Type": "P", "WikidataId": "Q48968552", "Confidence": 0.999, "OccurrenceOffsets": [35], "SurfaceForms": ["Joe Simons"]}, {"Label": "Google", "Type": "O", "WikidataId": "Q95", "Confidence": 1.0, "OccurrenceOffsets": [68], "SurfaceForms": ["Google"]}, {"Label": "Facebook", "Type": "O", "WikidataId": "Q355", "Confidence": 1.0, "OccurrenceOffsets": [76], "SurfaceForms": ["Facebook"]}, {"Label": "Apple Inc.", "Type": "O", "WikidataId": "Q312", "Confidence": 1.0, "OccurrenceOffsets": [98], "SurfaceForms": ["Apple"]}, {"Label": "Amazon (company)", "Type": "O", "WikidataId": "Q3884", "Confidence": 1.0, "OccurrenceOffsets": [86], "SurfaceForms": ["Amazon"]}]

N72564	news	newspolitics	The Democratic candidates who want to face Trump	With Bill de Blasio's Sept. 19 decision to drop out of the presidential race, there are 19 Democratic candidates remaining in the field. They're vying for the right to challenge the Republican candidate   almost certainly President Trump.	https://assets.msn.com/labs/mind/AAEmD6T.html	[{"Label": "2020 Democratic Party presidential primaries", "Type": "N", "WikidataId": "Q38051551", "Confidence": 1.0, "OccurrenceOffsets": [4], "SurfaceForms": ["Democratic candidates"]}, {"Label": "Donald Trump", "Type": "P", "WikidataId": "Q22686", "Confidence": 0.977, "OccurrenceOffsets": [43], "SurfaceForms": ["Trump"]}]	[{"Label": "2020 Democratic Party presidential primaries", "Type": "N", "WikidataId": "Q38051551", "Confidence": 1.0, "OccurrenceOffsets": [91], "SurfaceForms": ["Democratic candidates"]}, {"Label": "Bill de Blasio", "Type": "P", "WikidataId": "Q4911497", "Confidence": 1.0, "OccurrenceOffsets": [5], "SurfaceForms": ["Bill de Blasio"]}, {"Label": "Donald Trump", "Type": "P", "WikidataId": "Q22686", "Confidence": 0.977, "OccurrenceOffsets": [222], "SurfaceForms": ["President Trump"]}]
N37599	news	newspolitics	Viral anti-Trump moment costs woman her job	Juli Briskman, a Virginia woman who flipped the finger at President Trump's motorcade in 2017, lost her government contracting job due to the incident. On Nov. 5, Briskman won a seat on the Loudoun County Board of Supervisors   ousting a Republican.	https://assets.msn.com/labs/mind/AAJWDJm.html	[{"Label": "Viral video", "Type": "C", "WikidataId": "Q1030329", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Viral"]}, {"Label": "Protests against Donald Trump", "Type": "E", "WikidataId": "Q23058648", "Confidence": 1.0, "OccurrenceOffsets": [6], "SurfaceForms": ["anti-Trump"]}]	[{"Label": "NANA Development Corporation", "Type": "O", "WikidataId": "Q6952311", "Confidence": 1.0, "OccurrenceOffsets": [0, 163], "SurfaceForms": ["Juli Briskman", "Briskman"]}, {"Label": "Loudoun County Board of Supervisors", "Type": "B", "WikidataId": "Q17079880", "Confidence": 1.0, "OccurrenceOffsets": [190], "SurfaceForms": ["Loudoun County Board of Supervisors"]}, {"Label": "Virginia", "Type": "G", "WikidataId": "Q1370", "Confidence": 0.959, "OccurrenceOffsets": [17], "SurfaceForms": ["Virginia"]}, {"Label": "Donald Trump", "Type": "P", "WikidataId": "Q22686", "Confidence": 0.993, "OccurrenceOffsets": [58], "SurfaceForms": ["President Trump"]}]
N27233	news	newscrime	U.S. attorney in Cleveland touts record number of drug, violent crime charges over past year	CLEVELAND, Ohio -- Federal prosecutors in Northern Ohio, for the second year in a row, boasted record-high numbers of people charged for violent and drug crimes. The numbers are unsurprising for an office that is part of a Justice Department that, under Republican President Donald Trump, has a philosophy that prosecuting more people is a key strategy in reducing crime. The data released by the ...	https://assets.msn.com/labs/mind/AAJfTxa.html	[{"Label": "Cleveland", "Type": "G", "WikidataId": "Q37320", "Confidence": 0.999, "OccurrenceOffsets": [17], "SurfaceForms": ["Cleveland"]}, {"Label": "United States Attorney", "Type": "C", "WikidataId": "Q2094335", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["U.S. attorney"]}]	[{"Label": "Cleveland", "Type": "G", "WikidataId": "Q37320", "Confidence": 0.999, "OccurrenceOffsets": [0], "SurfaceForms": ["CLEVELAND"]}, {"Label": "Northern Ohio, Arkansas", "Type": "G", "WikidataId": "Q7058801", "Confidence": 0.937, "OccurrenceOffsets": [42], "SurfaceForms": ["Northern Ohio"]}, {"Label": "United States Department of Justice", "Type": "O", "WikidataId": "Q1553390", "Confidence": 1.0, "OccurrenceOffsets": [223], "SurfaceForms": ["Justice Department"]}, {"Label": "Ohio", "Type": "G", "WikidataId": "Q1397", "Confidence": 0.998, "OccurrenceOffsets": [11], "SurfaceForms": ["Ohio"]}, {"Label": "Donald Trump", "Type": "P", "WikidataId": "Q22686", "Confidence": 1.0, "OccurrenceOffsets": [265], "SurfaceForms": ["President Donald Trump"]}]
N49026	news	newsworld	The Latest: House measure condemns Trump's Syria withdrawal	President Donald Trump said Wednesday that U.S. troops are "largely out" of a region of Syria where Turkish forces are attacking the Kurdish fighters who were America's allies in fighting the Islamic State group. (Oct. 16)	https://assets.msn.com/labs/mind/AAISHVS.html	[{"Label": "Syria", "Type": "G", "WikidataId": "Q858", "Confidence": 0.997, "OccurrenceOffsets": [43], "SurfaceForms": ["Syria"]}, {"Label": "Donald Trump", "Type": "P", "WikidataId": "Q22686", "Confidence": 0.997, "OccurrenceOffsets": [35], "SurfaceForms": ["Trump"]}]	[{"Label": "Syria", "Type": "G", "WikidataId": "Q858", "Confidence": 0.997, "OccurrenceOffsets": [88], "SurfaceForms": ["Syria"]}, {"Label": "Islamic State of Iraq and the Levant", "Type": "U", "WikidataId": "Q2429253", "Confidence": 1.0, "OccurrenceOffsets": [192], "SurfaceForms": ["Islamic State group"]}, {"Label": "United States", "Type": "G", "WikidataId": "Q30", "Confidence": 0.999, "OccurrenceOffsets": [43, 159], "SurfaceForms": ["U.S.", "America"]}, {"Label": "Donald Trump", "Type": "P", "WikidataId": "Q22686", "Confidence": 0.997, "OccurrenceOffsets": [0], "SurfaceForms": ["President Donald Trump"]}]
N68015	news	newsus	Trump cancels plans to host G7 Summit at his Florida resort	Former Arkansas Republican Gov. Mike Huckabee weighs in on the media's reaction to President Trump's proposal to host the G7 Summit at his Florida resort.	https://assets.msn.com/labs/mind/AAJ4m5B.html	[{"Label": "43rd G7 summit", "Type": "U", "WikidataId": "Q25067722", "Confidence": 0.986, "OccurrenceOffsets": [28], "SurfaceForms": ["G7 Summit"]}, {"Label": "Florida", "Type": "G", "WikidataId": "Q812", "Confidence": 0.997, "OccurrenceOffsets": [45], "SurfaceForms": ["Florida"]}, {"Label": "Donald Trump", "Type": "P", "WikidataId": "Q22686", "Confidence": 0.993, "OccurrenceOffsets": [0], "SurfaceForms": ["Trump"]}]	[{"Label": "43rd G7 summit", "Type": "U", "WikidataId": "Q25067722", "Confidence": 0.986, "OccurrenceOffsets": [122], "SurfaceForms": ["G7 Summit"]}, {"Label": "Mike Huckabee", "Type": "P", "WikidataId": "Q158813", "Confidence": 1.0, "OccurrenceOffsets": [32], "SurfaceForms": ["Mike Huckabee"]}, {"Label": "Florida", "Type": "G", "WikidataId": "Q812", "Confidence": 0.997, "OccurrenceOffsets": [139], "SurfaceForms": ["Florida"]}, {"Label": "Arkansas", "Type": "G", "WikidataId": "Q1612", "Confidence": 0.995, "OccurrenceOffsets": [7], "SurfaceForms": ["Arkansas"]}, {"Label": "Donald Trump", "Type": "P", "WikidataId": "Q22686", "Confidence": 0.993, "OccurrenceOffsets": [83], "SurfaceForms": ["President Trump"]}]
N61974	news	newspolitics	WaPo Reporter: Trump admin. cut funding to anti-corruption programs	Washington Post Congressional Reporter Erica Werner joins MSNBCs Ali Velshi to discuss her new reporting that the White House sought to cut millions of dollars in programs aimed at fighting corruption despite President Trump's claims.	https://assets.msn.com/labs/mind/AAJfUEE.html	[{"Label": "Donald Trump", "Type": "P", "WikidataId": "Q22686", "Confidence": 0.994, "OccurrenceOffsets": [15], "SurfaceForms": ["Trump"]}, {"Label": "The Washington Post", "Type": "M", "WikidataId": "Q166032", "Confidence": 0.991, "OccurrenceOffsets": [0], "SurfaceForms": ["WaPo"]}]	[{"Label": "Ali Velshi", "Type": "P", "WikidataId": "Q4725250", "Confidence": 1.0, "OccurrenceOffsets": [65], "SurfaceForms": ["Ali Velshi"]}, {"Label": "MSNBC", "Type": "M", "WikidataId": "Q13973", "Confidence": 1.0, "OccurrenceOffsets": [58], "SurfaceForms": ["MSNBCs"]}, {"Label": "Donald Trump", "Type": "P", "WikidataId": "Q22686", "Confidence": 0.994, "OccurrenceOffsets": [209], "SurfaceForms": ["President Trump"]}, {"Label": "White House", "Type": "F", "WikidataId": "Q35525", "Confidence": 1.0, "OccurrenceOffsets": [114], "SurfaceForms": ["White House"]}]
N130085	video	news	US policy collapses into catastrophe following Trump's whims	Rachel Maddow reports on the disastrous state of affairs after Trump's rash decision to abandon Kurdish allies to Turkish aggression, sending them into the Russian-backed arms of Syria.	https://assets.msn.com/labs/mind/AAINbwM.html	[{"Label": "Donald Trump", "Type": "P", "WikidataId": "Q22686", "Confidence": 0.99, "OccurrenceOffsets": [47], "SurfaceForms": ["Trump"]}]	[{"Label": "Rachel Maddow", "Type": "P", "WikidataId": "Q555", "Confidence": 1.0, "OccurrenceOffsets": [0], "SurfaceForms": ["Rachel Maddow"]}, {"Label": "Syria", "Type": "G", "WikidataId": "Q858", "Confidence": 0.999, "OccurrenceOffsets": [179], "SurfaceForms": ["Syria"]}, {"Label": "Donald Trump", "Type": "P", "WikidataId": "Q22686", "Confidence": 0.99, "OccurrenceOffsets": [63], "SurfaceForms": ["Trump"]}]
N26115	finance	finance-taxes	President Trump's trillion-dollar hit to homeowners	People should consider one of the largely unexamined effects of the last tax bill, which Trump promised would help the middle class: Would you believe it has inflicted a trillion dollars of damage on homeowners?	https://assets.msn.com/labs/mind/AAIzltR.html	[{"Label": "Donald Trump", "Type": "P", "WikidataId": "Q22686", "Confidence": 0.998, "OccurrenceOffsets": [0], "SurfaceForms": ["President Trump"]}]	[{"Label": "Donald Trump", "Type": "P", "WikidataId": "Q22686", "Confidence": 0.998, "OccurrenceOffsets": [89], "SurfaceForms": ["Trump"]}]
